WKT,Dependencia,Organismo,Nombre,Dirección,Partido,Teléfono,Representa
"POINT (-58.7536743 -35.04988787)",Comisaría,Ministerio de Seguridad,EST.POL.COM.CAÑUELAS 2º M.PAZ,CELEDONIO PEREDA 440 E/ SAN EDUARDO Y SAN MARTIN,Cañuelas,2274421119,COMISARIO KOWALCZUK JULIO CESAR
"POINT (-58.759861 -34.659301)",Comisaría,Ministerio de Seguridad,CRIA.MORENO 5TA,BVARD. ALCORTA E/ LAS BARRANCAS Y EL PESCADOR,Moreno,0237463 6251/463 6246 ,COMISARIO SAUCEDO CESAR ALEJANDRO
"POINT (-58.7602534 -35.05454592)",Comisaría,Ministerio de Seguridad,EST.POL.COM.CAÑUELAS 1º,LIBERTAD 738,Cañuelas,2226492293/2226421028/2226421390/2226432826,COMISARIO NEGRETE JUAN RODOLFO
"POINT (-58.761441 -34.469578)",Comisaría,Ministerio de Seguridad,CRIA.MALVINAS ARGENTINAS 4TA,JUAN DOMINGO PERON - SANTA INES,Malvinas Argentinas,02320491011/7901/5000,SUBCOMISARIO ANDRADA JUAN CARLOS
"POINT (-58.768729 -34.611075)",Comisaría,Ministerio de Seguridad,CRIA.MORENO 8VA,RUTA NAC 23 Y ARROYO CATONAS,Moreno,02374814756/4815205,COMISARIO PIAGETTI CRISTIAN HERNAN
"POINT (-58.770981 -34.407727)",Comisaría,Ministerio de Seguridad,CRIA.ESCOBAR 4TA,BELLIERA Y RUTA 26,Escobar,03488441602/03488-481802,COMISARIO DONADIO EDUARDO MARIO
"POINT (-58.77607337 -34.45855237)",Comisaría,Ministerio de Seguridad,CRIA.PILAR 4TA,SNATA RITA Y PAILLETTE,Pilar,2320471700/479899/479898/473111,COMISARIO ABBATE JAVIER ELIAS
"POINT (-58.776546 -34.510453)",Comisaría,Ministerio de Seguridad,CRIA.JOSE C.PAZ 2DA,"BUTLER, FRAY G. E/ 11 DE SETIEMBRE Y UGARTECHE",José C. Paz,02320466661/467199,COMISARIO CHEREY ROBERTO CARLOS
"POINT (-58.78264326 -34.4406442)",Comisaría,Ministerio de Seguridad,CRIA.PILAR 7MA,RUTA 26 Y PANAMERICANA,Pilar,2320471111/2320401105,SUBCOMISARIO OLIVIERI ALEJANDRO DANIEL
"POINT (-58.78892215 -34.53077321)",Comisaría,Ministerio de Seguridad,CRIA.JOSE C.PAZ 3RA,POTOSI ENTRE BOLIVAR Y CARABOBO,José C. Paz,02320421922/446002,
"POINT (-58.79102673 -38.16920472)",Comisaría,Ministerio de Seguridad,EST.POL.COM.LOBERIA,SARMIENTO 450,Lobería,2261442213/2261443527/02261-498058,SUBCOMISARIO JAKIMCZUK CRISTIAN BASILIO
"POINT (-58.79501665 -34.45684316)",Comisaría,Ministerio de Seguridad,CRIA.PILAR 3RA,ROSALIA CASTRO Y GIMENEZ,Pilar,2320479812/11/5104/470111/02320-475101,SUBCOMISARIO VISBEEK HECTOR GABRIEL
"POINT (-58.799064 -34.35148)",Comisaría,Ministerio de Seguridad,CRIA.ESCOBAR 1RA,EUGENIA TAPIA DE CRUZ Y ALBERDI,Escobar,03488420024/420394,COMISARIO SPEN ADRIAN ALBERTO
"POINT (-58.805231 -35.439656)",Comisaría,Ministerio de Seguridad,EST.POL.COM.S.MIGUEL DEL MONTE,ZENON VIDELA DORNA 630,Monte,2271420111/2271420543,SUBCOMISARIO MICUCCI JULIO FRANCO
"POINT (-58.812857 -34.547427)",Comisaría,Ministerio de Seguridad,CRIA.MORENO 4TA,RUTA 24 E/ ALLENDE Y GUTEMBERG,Moreno,02320452696/453 697,COMISARIO LOVERA JORGE
"POINT (-58.829319 -34.640472)",Comisaría,Ministerio de Seguridad,CRIA.MORENO 7MA,RUBEN DARIO NRO. 72,Moreno,0237466 6945/462 8186,COMISARIO DIAZ EDUARDO RAMON
"POINT (-58.838997 -34.780354)",Comisaría,Ministerio de Seguridad,EST.POL.COM.MARCOS PAZ,MITRE 247,Marcos Paz,2204771111/2204772544/2204770276,SUBCOMISARIO GOMEZ SERGIO HERNAN
"POINT (-58.84312232 -34.49102902)",Comisaría,Ministerio de Seguridad,CRIA.PILAR 2DA,AVE DE MAYO Y DORREGO,Pilar,2304485514,COMISARIO AGUIRRE JOSE ISMAEL
"POINT (-58.84959298 -37.79236693)",Comisaría,Ministerio de Seguridad,,IRIGOYEN Y MITRE,Lobería,2261498058,
"POINT (-58.855519 -34.633713)",Comisaría,Ministerio de Seguridad,CRIA.MORENO 6TA,N ALVAREZ Y MANAGUA,Moreno,02374873125/4874169,SUBCOMISARIO ALEGRE DARIO GABRIEL
"POINT (-58.86864918 -34.41695674)",Comisaría,Ministerio de Seguridad,CRIA.PILAR 6TA,LAMAS Y PELLEGRINI,Pilar,02304495101/ 495113,COMISARIO MAIDANA RAFAEL ALBERTO
"POINT (-58.87330817 -34.45052343)",Comisaría,Ministerio de Seguridad,CRIA.PILAR 5TA,BELIERA n° 1159 E/ AMBROSETTI Y VICENTE LOPEZ,Pilar,02304481966/4481999,COMISARIO QUIROGA PABLO ENRIQUE
"POINT (-58.947458 -34.928792)",Comisaría,Ministerio de Seguridad,EST.POL.COM.GRAL.LAS HERAS,LAS HERAS  1051,General Las Heras,02204761111/21115,COMISARIO RODRIGUEZ ALDO MARTIN
"POINT (-58.953608 -34.606882)",Comisaría,Ministerio de Seguridad,CRIA.GRAL.RODRIGUEZ 1RA,ESPAÑA Y 2 DE ABRIL,General Rodríguez,02374840000/3398/4852222,COMISARIO ZALAZAR ANTONIO MIGUEL
"POINT (-58.961502 -34.163267)",Comisaría,Ministerio de Seguridad,CRIA.CAMPANA,RAWSON 372,Campana,03489422025 / 422534,COMISARIO PUJOL PABLO FERNANDO RAMON
"POINT (-59.02366201 -34.09496192)",Comisaría,Ministerio de Seguridad,CRIA.ZARATE 1RA,RIVADAVIA 637,Zárate,3487426050/3487422222/3487422666,COMISARIO ERRECALDE ARTURO OSCAR
"POINT (-59.07696189 -34.49268328)",Comisaría,Ministerio de Seguridad,CRIA.LUJAN 3RA.OPEN DOOR,SANTA FE Y CORRIENTES,Luján,2323496188,SUBCOMISARIO CHAMORRO GABRIEL FRANCISCO
"POINT (-59.086011 -36.776098)",Comisaría,Ministerio de Seguridad,EST.POL.COM.RAUCH,BELGRANO 191,Rauch,02297-442063,SUBCOMISARIO CRISTECHE LUIS ALBERTO
"POINT (-59.09014446 -35.14966733)",Comisaría,Ministerio de Seguridad,EST.POL.COM.LOBOS II,SAN PATRCIO Y SAN MARTIN,Lobos,2227423027/2227422121,
"POINT (-59.10052013 -35.1858823)",Comisaría,Ministerio de Seguridad,EST.POL.COM.LOBOS I,SALGADO Y ESTRADA,Lobos,2227423731/2227424344/2227421313,
"POINT (-59.100609 -35.185862)",Comisaría,Ministerio de Seguridad,EST.POL.COM.LOBOS,SALGADO Y ESTRADA,Lobos,02227-15-618318,SUBCOMISARIO BUSTOS MARIANO ISMAEL
"POINT (-59.101424 -36.019213)",Comisaría,Ministerio de Seguridad,EST.POL.COM.LAS FLORES,MORENO Y AROSTEGUY,Las Flores,02244-452500,COMISARIO GUILLEN SEBASTIAN EZEQUIEL
"POINT (-59.103141 -34.290004)",Comisaría,Ministerio de Seguridad,,URCELAY Y PADRE FAHY,Exaltación de la Cruz,02323491333/491929,
"POINT (-59.11358285 -37.29562029)",Comisaría,Ministerio de Seguridad,CRIA.TANDIL 4TA,INDEPENDENCIA 1932,Tandil,02249-4432968,SUBCOMISARIO FRESCO DARIO DANIEL
"POINT (-59.118075 -34.567516)",Comisaría,Ministerio de Seguridad,CRIA.LUJAN 1RA,LAS HERAS 387,Luján,2323421409/2323424641/2323424672/2323421111,COMISARIO GONZALEZ RUBEN
"POINT (-59.13450907 -37.31668076)",Comisaría,Ministerio de Seguridad,CRIA.TANDIL 2DA,COLON 1274,Tandil,02293-423289/ 424202,COMISARIO AYALA OSCAR VICENTE
"POINT (-59.135456 -37.331092)",Comisaría,Ministerio de Seguridad,CRIA.TANDIL 1RA,INDEPENDENCIA 263,Tandil,02293-425210 226662,COMISARIO YAÑEZ CARLOS MAURICIO
"POINT (-59.13904 -37.303197)",Comisaría,Ministerio de Seguridad,CRIA.TANDIL 3RA,BEIRO 640,Tandil,02293-431146/420697,COMISARIO FERNANDEZ REINALDO EZEQUIEL
"POINT (-59.19158226 -34.60331019)",Comisaría,Ministerio de Seguridad,CRIA.LUJAN 2DA,LUIS GONZAGA 184,Luján,02323497220/7790,COMISARIO REBOTTARO GUILLERMO RAUL
"POINT (-59.19436636 -35.07681089)",Comisaría,Ministerio de Seguridad,SUBEST.POL.COM.LAS CHACRAS,PARAJE CHACRAS,Lobos,02257-15581008,COMISARIO QUINTANA DANIEL OSCAR
"POINT (-59.19772364 -34.04605964)",Comisaría,Ministerio de Seguridad,CRIA.ZARATE 2DA,CALLE 12 NRO 642,Zárate,3487480111/3487481189,COMISARIO VERA TOMAS DANIEL
"POINT (-59.28394726 -35.01273211)",Comisaría,Ministerio de Seguridad,EST.POL.COM.NAVARRO,MITRE N° 180,Navarro,02272-430249,COMISARIO TELLO JOSE ANTONIO
"POINT (-59.333038 -35.398722)",Comisaría,Ministerio de Seguridad,EST.POL.COM.ROQUE PEREZ,AVELLANEDA Y BELGRANO,Roque Pérez,02227-491013/14,COMISARIO LOPEZ JUAN MANUEL
"POINT (-59.436391 -34.649816)",Comisaría,Ministerio de Seguridad,EST.POL.COM.MERCEDES,CALLE 37 E/ 24 Y 26,Mercedes,02324-424516,COMISARIO DEL PORTO ALEJANDRO DANIEL
"POINT (-59.446845 -34.445249)",Comisaría,Ministerio de Seguridad,EST.POL.COM.S.A.DE GILES,25 DE MAYO 860,San Andrés de Giles,2325442222/2325442187,SUBCOMISARIO FAIN JUAN DOMINGO
"POINT (-59.511051 -33.81006)",Comisaría,Ministerio de Seguridad,EST.POL.COM.BARADERO,GORRITI Y GALLO,Baradero,03329-480115 / 480756,SUBCOMISARIO MENDEZ MARIO HUMBERTO
"POINT (-59.606663 -38.345138)",Comisaría,Ministerio de Seguridad,EST.POL.COM.SAN CAYETANO,SAN MARTIN 459,San Cayetano,2983470113,SUBCOMISARIO TISERA NICOLAS JORGE ALBERTO
"POINT (-59.671876 -33.685799)",Comisaría,Ministerio de Seguridad,CRIA.SAN PEDRO,MITRE 1970,San Pedro,03329-425221/425788,
"POINT (-59.686919 -34.768069)",Comisaría,Ministerio de Seguridad,EST.POL.COM.SUIPACHA,SAN MARTIN 347,Suipacha,02324-481313,COMISARIO LASALA EZEQUIEL RAMON
"POINT (-59.773672 -35.269225)",Comisaría,Ministerio de Seguridad,CRIA.25 DE MAYO 2DA,GUEMES Y VARGAS,Veinticinco de Mayo,02343-440091/440113,SUBCOMISARIO PICHIRILO SEBASTIAN OSCAR
"POINT (-59.778178 -35.639799)",Comisaría,Ministerio de Seguridad,CRIA.SALADILLO,A TOLEDO 3164,Saladillo,02344-453105,COMISARIO BARROS WALTER NELSON
"POINT (-59.794464 -34.171493)",Comisaría,Ministerio de Seguridad,EST.POL.COM.CAPITAN SARMIENTO,LOPEZ Y PLANES 586,Capitán Sarmiento,2478483152/2478481255,SUBCOMISARIO VARELA SEBASTIAN FERMIN
"POINT (-59.804058 -37.675781)",Comisaría,Ministerio de Seguridad,EST.POL.COM.BENITO JUAREZ,BELGRANO Y OTAMENDI,Benito Juárez,2292452222/2292454268,COMISARIO SUAREZ WALTER ALEJANDRO
"POINT (-59.82224102 -34.37694127)",Comisaría,Ministerio de Seguridad,EST.POL.COM.CARMEN DE ARECO,SAAVEDRA 727,Carmen de Areco,2273443312,SUBCOMISARIO ULLUA CARLOS JOAQUIN
"POINT (-59.823447 -34.376166)",Comisaría,Ministerio de Seguridad,EST.POL.COM.SAN A.DE ARECO,SAAVECRE 727,Carmen de Areco,,SUBCOMISARIO COLUCCIO MARCOS EMILIANO
"POINT (-59.866664 -36.77314)",Comisaría,Ministerio de Seguridad,CRIA.AZUL 1RA,LAS FLORES Y BELGRANO,Azul,02281-431474/431368,SUBCOMISARIO PAUL MIGUEL ALFREDO
"POINT (-59.87074962 -36.77636129)",Comisaría,Ministerio de Seguridad,SUBCRIA.CHILLAR,ROCA 179,Azul,2281497111,SUBCOMISARIO BORDON LUCAS ALBERTO
"POINT (-59.87827115 -36.79432572)",Comisaría,Ministerio de Seguridad,SUBCRIA.CACHARI,25 DE MAYO 1740,Azul,2281481111,SUBCOMISARIO DELMAS AMBROSIO LUIS
"POINT (-59.994914 -34.917793)",Comisaría,Ministerio de Seguridad,SUBEST.POL.COM.O.I.GARELLI,AVE MITRE Y 110,Chivilcoy,2346428636,SUBCOMISARIO FERNANDEZ ESTEBAN FRANCISCO 
"POINT (-60.006723 -33.48474)",Comisaría,Ministerio de Seguridad,CRIA.RAMALLO 1RA,BELGRANO 651,Ramallo, O3407-421333/422551,COMISARIO ACEVEDO JUAN CRUZ
"POINT (-60.00927638 -33.47973263)",Comisaría,Ministerio de Seguridad,CRIA.RAMALLO 2DA,VELAZQUEZ 847,Ramallo,03407-488333/489552,SUBCOMISARIO PONCE CRISTIAN GUSTAVO
"POINT (-60.01286 -34.888694)",Comisaría,Ministerio de Seguridad,,HUMBERTO PRIMO Y PUEYRREDON,Chivilcoy,02346-424067,
"POINT (-60.019383 -34.898565)",Comisaría,Ministerio de Seguridad,EST.POL.COM.CHIVILCOY,SAN MARTIN 75,Chivilcoy,02346-422016,COMISARIO IRRAZABAL SERGIO FABIAN
"POINT (-60.02473196 -36.35375192)",Comisaría,Ministerio de Seguridad,EST.POL.COM.TAPALQUE,MAXIMO GOMEZ Y RIVADAVIA,Tapalqué,02283-420211/420761,COMISARIO PENSADO CARLOS GUILLERMO
"POINT (-60.06907858 -38.85891465)",Comisaría,Ministerio de Seguridad,EST.POL.COM.TRES ARROYOS 2DA,CALLE 13 E/ 32 Y 34,Tres Arroyos,2982480015,SUBCOMISARIO AGUIRRE RETA NELSON RAUL
"POINT (-60.07994647 -35.1648599)",Comisaría,Ministerio de Seguridad,SUBCRIA.GOBERNADOR UGARTE,SAN MARTIN Y TUCUMAN,Veinticinco de Mayo,2346493037,SUBCOMISARIO GAYONE DIEGO ALFONSO
"POINT (-60.098421 -38.033874)",Comisaría,Ministerio de Seguridad,EST.POL.COM.GONZALEZ CHAVES,GRAL PAZ Y SARMIENTO,Adolfo Gonzales Chaves,02983481297/1360,SUBCOMISARIO ALVEZ JORGE ALBERTO
"POINT (-60.1088426 -34.06897066)",Comisaría,Ministerio de Seguridad,CRIA.ARRECIFES,SAAVEDRA 226,Arrecifes,2478452521/2478452559,COMISARIO VERON CARLOS MIGUEL
"POINT (-60.15624436 -36.93748148)",Comisaría,Ministerio de Seguridad,SUBCRIA.SIERRAS BAYAS,SAN MARTIN E/ BIAGGI Y ALFONSO AUST,Olavarría,2284492120,COMISARIO LEMMA DIEGO ANDRES
"POINT (-60.15878266 -36.8653294)",Comisaría,Ministerio de Seguridad,SUBCRIA.HINOJO,CROTTO E/ CALLE 11 Y LIBERTAD,Olavarría,2284491004,SUBCOMISARIO SPARAINO EMILIANO JOSE
